,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Mataura,0.0,NZ,1545602500.0,78.0,-46.19,168.86,60.0,4.09
1,Faanui,76.0,PF,1545602501.0,100.0,-16.48,-151.75,83.22,15.05
2,Ushuaia,75.0,AR,1545598800.0,81.0,-54.81,-68.31,48.2,13.87
3,Los Llanos de Aridane,0.0,ES,1545600600.0,45.0,28.66,-17.92,68.0,16.11
4,George,0.0,NG,1545598800.0,78.0,6.63,3.35,80.6,2.24
5,Kodiak,1.0,US,1545599700.0,16.0,39.95,-94.76,46.94,9.17
6,Georgetown,75.0,GY,1545598800.0,74.0,6.8,-58.16,82.4,9.17
7,Haines Junction,64.0,CA,1545602504.0,81.0,60.75,-137.51,-4.36,2.75
8,Shitanjing,0.0,CN,1545602504.0,53.0,39.23,106.34,-8.09,1.36
9,Busselton,20.0,AU,1545602505.0,100.0,-33.64,115.35,63.42,14.94
10,Alofi,92.0,NU,1545598800.0,70.0,-19.06,-169.92,86.0,18.34
11,Lompoc,1.0,US,1545598680.0,60.0,34.64,-120.46,64.04,12.75
12,Cape Town,0.0,ZA,1545598800.0,82.0,-33.93,18.42,68.0,9.17
13,Cabo San Lucas,75.0,MX,1545597840.0,50.0,22.89,-109.91,82.4,11.41
14,New Norfolk,0.0,AU,1545600600.0,42.0,-42.78,147.06,66.2,9.17
15,Camiri,75.0,BO,1545598800.0,61.0,-20.04,-63.52,82.4,4.7
16,Bambous Virieux,40.0,MU,1545598800.0,88.0,-20.34,57.76,77.0,4.7
17,Pouebo,88.0,NC,1545602506.0,80.0,-20.4,164.57,81.51,3.71
18,Tuatapere,0.0,NZ,1545602507.0,88.0,-46.13,167.69,58.2,4.76
19,Chuy,0.0,UY,1545602507.0,84.0,-33.69,-53.46,69.85,11.25
20,Fairbanks,0.0,US,1545598680.0,77.0,64.84,-147.72,-11.93,2.86
21,Kavieng,32.0,PG,1545602508.0,100.0,-2.57,150.8,84.12,3.87
22,Itarema,92.0,BR,1545602508.0,94.0,-2.92,-39.92,76.33,6.51
23,Norman Wells,75.0,CA,1545598800.0,76.0,65.28,-126.83,-11.21,3.6
24,Touros,20.0,BR,1545598800.0,78.0,-5.2,-35.46,82.4,16.11
25,Farah,0.0,AF,1545602509.0,86.0,32.37,62.11,31.96,2.53
26,Rikitea,64.0,PF,1545602327.0,98.0,-23.12,-134.97,78.85,19.93
27,Fereydun Kenar,0.0,IR,1545602510.0,99.0,36.69,52.52,38.71,3.38
28,Samoylovka,92.0,RU,1545602510.0,94.0,51.19,43.71,34.66,12.26
29,Leningradskiy,0.0,RU,1545602511.0,97.0,69.38,178.42,-16.19,10.42
30,Tasiilaq,92.0,GL,1545598200.0,86.0,65.61,-37.64,28.4,4.7
31,Atuona,92.0,PF,1545602511.0,100.0,-9.8,-139.03,81.06,18.07
32,Punta Arenas,40.0,CL,1545598800.0,41.0,-53.16,-70.91,59.0,29.97
33,Vaini,36.0,IN,1545602512.0,64.0,15.34,74.49,73.95,4.5
34,Concepcion de Buenos Aires,5.0,MX,1545597660.0,14.0,19.97,-103.27,75.2,4.7
35,Zirandaro,0.0,MX,1545602513.0,30.0,18.45,-100.98,86.73,2.71
36,Ulladulla,0.0,AU,1545598800.0,68.0,-35.36,150.48,64.4,8.05
37,Veraval,92.0,FR,1545600600.0,100.0,49.65,0.71,53.6,12.75
38,Kapaa,40.0,US,1545598560.0,69.0,22.08,-159.32,82.94,16.11
39,Sao Filipe,80.0,CV,1545602514.0,92.0,14.9,-24.5,75.93,7.63
40,Albany,90.0,US,1545598620.0,58.0,42.65,-73.75,33.98,4.7
41,Ixtapa,5.0,MX,1545597900.0,44.0,20.71,-105.21,77.0,8.05
42,Caravelas,0.0,BR,1545602516.0,100.0,-17.73,-39.27,80.7,24.34
43,Tiksi,0.0,RU,1545602516.0,0.0,71.64,128.87,-44.99,5.77
44,Hermanus,0.0,ZA,1545602518.0,98.0,-34.42,19.24,58.11,2.71
45,Jega,0.0,NG,1545602518.0,33.0,12.22,4.38,66.61,9.75
46,Orange Cove,75.0,US,1545602160.0,66.0,36.62,-119.31,57.02,4.7
47,Talnakh,88.0,RU,1545602519.0,80.0,69.49,88.39,-26.23,14.34
48,Lubango,12.0,AO,1545602390.0,90.0,-14.92,13.49,65.76,2.19
49,Dikson,80.0,RU,1545602520.0,94.0,73.51,80.55,25.53,31.94
50,Chokurdakh,68.0,RU,1545602520.0,54.0,70.62,147.9,-31.4,3.2
51,Mastic Beach,1.0,US,1545601920.0,50.0,40.77,-72.85,42.08,3.36
52,Rio Gallegos,40.0,AR,1545598800.0,52.0,-51.62,-69.22,73.4,36.91
53,Cidreira,44.0,BR,1545602521.0,82.0,-30.17,-50.22,73.95,9.86
54,Elektrougli,90.0,RU,1545600600.0,85.0,55.72,38.22,17.6,8.95
55,Obregon,40.0,US,1545598740.0,27.0,32.86,-114.79,71.96,9.17
56,Hilo,90.0,US,1545598380.0,59.0,19.71,-155.08,78.08,4.7
57,Port Elizabeth,90.0,US,1545602040.0,67.0,39.31,-74.98,46.04,5.28
58,Hithadhoo,0.0,MV,1545602522.0,100.0,-0.6,73.08,82.18,6.78
59,Westport,0.0,IE,1545602246.0,100.0,53.8,-9.52,39.3,6.55
60,Lagoa,0.0,PT,1545600600.0,93.0,37.14,-8.45,53.6,6.93
61,Cape Canaveral,1.0,US,1545602160.0,59.0,28.41,-80.6,66.02,5.55
62,Sao Joao do Paraiso,32.0,BR,1545602524.0,86.0,-15.31,-42.01,74.8,1.25
63,East London,0.0,ZA,1545602292.0,96.0,-33.02,27.91,74.94,24.9
64,Bathsheba,40.0,BB,1545598800.0,69.0,13.22,-59.52,80.6,16.11
65,Bethel,90.0,US,1545600480.0,91.0,60.79,-161.76,8.96,4.7
66,Port Alfred,20.0,ZA,1545602526.0,87.0,-33.59,26.89,73.05,5.06
67,Kruisfontein,76.0,ZA,1545602263.0,94.0,-34.0,24.73,68.23,15.84
68,Clyde River,75.0,CA,1545598800.0,83.0,70.47,-68.59,-11.21,3.36
69,Hay River,40.0,CA,1545598800.0,83.0,60.82,-115.79,-9.41,5.82
70,Lisburn,0.0,GB,1545601800.0,93.0,54.51,-6.04,41.0,2.24
71,Kaitangata,0.0,NZ,1545602527.0,78.0,-46.28,169.85,59.68,4.27
72,Yellowknife,90.0,CA,1545598800.0,76.0,62.45,-114.38,-4.01,4.7
73,Srednekolymsk,32.0,RU,1545602529.0,70.0,67.46,153.71,-36.13,2.3
74,Hobart,0.0,AU,1545600600.0,42.0,-42.88,147.33,66.2,9.17
75,Samarai,64.0,PG,1545602529.0,100.0,-10.62,150.67,83.04,6.33
76,Mahebourg,40.0,MU,1545598800.0,88.0,-20.41,57.7,77.0,4.7
77,Cap Malheureux,40.0,MU,1545598800.0,88.0,-19.98,57.61,77.0,4.7
78,Prince Rupert,90.0,CA,1545601500.0,86.0,54.32,-130.32,41.0,14.99
79,Puerto Ayora,75.0,EC,1545598800.0,62.0,-0.74,-90.35,86.0,19.46
80,Viedma,0.0,AR,1545602531.0,30.0,-40.81,-62.99,82.36,9.13
81,Apollonia,20.0,GR,1545601800.0,80.0,40.64,23.49,41.0,5.82
82,Nikolskoye,90.0,RU,1545600600.0,85.0,59.7,30.79,24.8,8.95
83,Inuvik,75.0,CA,1545598800.0,75.0,68.36,-133.71,-20.21,2.98
84,Champerico,20.0,MX,1545598560.0,39.0,16.38,-93.6,84.2,19.46
85,Poya,88.0,NC,1545602533.0,100.0,-21.35,165.16,76.65,5.77
86,College,0.0,US,1545598680.0,77.0,64.86,-147.8,-11.93,2.86
87,Kita,40.0,JP,1545600600.0,57.0,35.76,139.74,50.0,20.8
88,Narsaq,92.0,GL,1545602534.0,98.0,60.91,-46.05,30.25,8.79
89,Port-Cartier,20.0,CA,1545598800.0,51.0,50.03,-66.88,12.2,14.99
