,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Butaritari,32.0,KI,1545598308.0,100.0,3.07,172.79,83.22,8.57
1,Sao Filipe,80.0,CV,1545598310.0,92.0,14.9,-24.5,75.93,7.63
2,Khatanga,88.0,RU,1545598310.0,69.0,71.98,102.47,-9.8,21.05
3,Severo-Kurilsk,68.0,RU,1545598310.0,100.0,50.68,156.12,24.58,6.85
4,Punta Arenas,75.0,CL,1545595200.0,58.0,-53.16,-70.91,59.0,23.04
5,Smithers,90.0,CA,1545595200.0,85.0,54.78,-127.17,24.8,4.7
6,Namatanai,64.0,PG,1545598036.0,100.0,-3.66,152.44,80.38,3.49
7,Bethel,90.0,US,1545596100.0,84.0,60.79,-161.76,8.96,4.7
8,Kaniama,8.0,CD,1545598312.0,94.0,-7.57,24.18,67.78,1.74
9,Saskylakh,56.0,RU,1545598312.0,65.0,71.97,114.09,-14.39,10.92
10,Mataura,0.0,NZ,1545598312.0,78.0,-46.19,168.86,60.0,4.09
11,College,0.0,US,1545595080.0,78.0,64.86,-147.8,-9.05,2.86
12,Nikolskoye,75.0,RU,1545597000.0,85.0,59.7,30.79,24.8,8.95
13,Saint-Augustin,90.0,FR,1545595200.0,93.0,44.83,-0.61,55.4,2.24
14,Narsaq,92.0,GL,1545598313.0,98.0,60.91,-46.05,30.25,8.79
15,Albany,90.0,US,1545594960.0,55.0,42.65,-73.75,33.98,8.05
16,Saint-Francois,90.0,FR,1545595200.0,82.0,46.42,3.91,55.4,6.93
17,Dikson,80.0,RU,1545598314.0,94.0,73.51,80.55,25.53,31.94
18,Rikitea,64.0,PF,1545598314.0,98.0,-23.12,-134.97,78.85,19.93
19,Bathsheba,20.0,BB,1545595200.0,61.0,13.22,-59.52,82.4,17.22
20,Hobart,0.0,AU,1545597000.0,55.0,-42.88,147.33,60.8,17.22
21,Tulsipur,0.0,IN,1545598315.0,86.0,27.53,82.41,47.58,5.32
22,Vaini,36.0,IN,1545598316.0,64.0,15.34,74.49,73.95,4.5
23,Hermanus,0.0,ZA,1545598316.0,98.0,-34.42,19.24,58.11,2.71
24,Port Elizabeth,1.0,US,1545594960.0,51.0,39.31,-74.98,48.38,10.29
25,Jamestown,0.0,AU,1545598316.0,49.0,-33.21,138.6,60.99,5.39
26,Vanimo,92.0,PG,1545598027.0,100.0,-2.67,141.3,76.65,6.85
27,Pangai,20.0,TO,1545595200.0,83.0,-19.8,-174.35,82.4,16.11
28,Deputatskiy,24.0,RU,1545598317.0,0.0,69.3,139.9,-43.6,3.71
29,Guebwiller,90.0,FR,1545595200.0,71.0,47.91,7.21,57.2,14.99
30,Kongoussi,0.0,BF,1545598317.0,30.0,13.32,-1.53,66.12,9.13
31,Port Alfred,20.0,ZA,1545598318.0,87.0,-33.59,26.89,73.05,5.06
32,Fort Nelson,75.0,CA,1545595200.0,75.0,58.81,-122.69,-13.01,2.24
33,Ust-Nera,20.0,RU,1545598318.0,76.0,64.57,143.24,-40.0,1.52
34,Busselton,20.0,AU,1545598319.0,100.0,-33.64,115.35,63.42,14.94
